U,X,Y
90.972474,0,0
90.972474,0,50
83.854514,0,100
83.854514,0,150
80.700734,0,200
80.700734,0,250
73.317574,0,300
73.317574,0,350
18.51947,0,400
18.51947,0,450
0,0,500
0,0,550
0,0,600
0,0,650
0,0,700
0,0,750
3.01185,0,800
3.01185,0,850
3.064313,0,900
3.064313,0,950
54.004425,0,1000
54.004425,0,1050
60.051654,0,1100
60.051654,0,1150
76.756529,0,1200
76.756529,0,1250
82.558334,0,1300
82.558334,0,1350
81.418568,0,1400
81.418568,0,1450
62.620067,0,1500
62.620067,0,1550
6.097312,0,1600
6.097312,0,1650
2.098096,0,1700
2.098096,0,1750
1.860904,0,1800
1.860904,0,1850
0,0,1900
0,0,1950
0,0,2000
0,0,2050
0,0,2100
0,0,2150
42.063492,0,2200
42.063492,0,2250
42.063492,0,2300
42.063492,0,2350
42.063492,0,2400
42.063492,0,2450
90.972474,50,0
90.972474,50,50
83.854514,50,100
83.854514,50,150
80.700734,50,200
80.700734,50,250
73.317574,50,300
73.317574,50,350
18.51947,50,400
18.51947,50,450
0,50,500
0,50,550
0,50,600
0,50,650
0,50,700
0,50,750
3.01185,50,800
3.01185,50,850
3.064313,50,900
3.064313,50,950
54.004425,50,1000
54.004425,50,1050
60.051654,50,1100
60.051654,50,1150
76.756529,50,1200
76.756529,50,1250
82.558334,50,1300
82.558334,50,1350
81.418568,50,1400
81.418568,50,1450
62.620067,50,1500
62.620067,50,1550
6.097312,50,1600
6.097312,50,1650
2.098096,50,1700
2.098096,50,1750
1.860904,50,1800
1.860904,50,1850
0,50,1900
0,50,1950
0,50,2000
0,50,2050
0,50,2100
0,50,2150
42.063492,50,2200
42.063492,50,2250
42.063492,50,2300
42.063492,50,2350
42.063492,50,2400
42.063492,50,2450
72.616894,100,0
72.616894,100,50
78.713114,100,100
78.713114,100,150
75.357084,100,200
75.357084,100,250
72.426424,100,300
72.426424,100,350
10.27215,100,400
10.27215,100,450
9.2105,100,500
9.2105,100,550
0,100,600
0,100,650
0,100,700
0,100,750
3.547812,100,800
3.547812,100,850
4.341405,100,900
4.341405,100,950
54.970012,100,1000
54.970012,100,1050
57.982227,100,1100
57.982227,100,1150
74.589963,100,1200
74.589963,100,1250
81.046783,100,1300
81.046783,100,1350
77.189078,100,1400
77.189078,100,1450
59.677138,100,1500
59.677138,100,1550
