c=5,n=25,d=25,,,,,
,,,,,,,
,finalsize,DefExpU,clustering time,solving time,revmap time,total time,
ClusteringWithDO,11,-2.6365,2279,83,11,2551,
DO,13,-5.4265,8,76,0,216,
,,,,,,,
,,,,,,,
,,,,,,,
c=10,n=50,d=50,,,,,
,,,,,,,
,finalsize,DefExpU,clustering time,solving time,revmap time,total time,
ClusteringWithDO,12,-1.2765,126788,135,15,127286,
DO,21,-6.683,15,59,0,188,
,,,,,,,
c=10,n=50,d=50,,,,,
,,,,,,,
,finalsize,DefExpU,clustering time,solving time,revmap time,total time,
ClusteringWithDO,88,-7.785,20735,683,77,25364,
DO,41,-7.995,465,357,0,1692,
,,,,,,,
,,,,,,,
