;;;;;;;;
;50;iterations;;;;;;
;;;;;;;;
;;#Targets;#Targetsleft;EU;CT;ST;SLT;TT
;OP;16;9;-0.9346;3;25;206;256
;lexicoOP;16;11;-0.8542;3;11;687;719
;TOP;16;11;-0.8718;3;8;1467;1485
;modifiedOP;16;11;-0.8292;2;10;1469;1492
;heuristics;16;8;-1.0718;2;12;1;43
;OP;9;7;-0.6768;0;11;50;72
;lexicoOP;9;7;-0.5452;0;6;193;209
;TOP;9;7;-0.5518;0;6;212;231
;modifiedOP;9;7;-0.5452;0;7;155;170
;heuristics;9;7;-0.6954;0;4;0;12
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;#Targets;Epd;;;;;
;OP;16;9.0654;;;;;
;lexicoOP;16;9.1458;;;;;
;TOP;16;9.1282;;;;;
;modifiedOP;16;9.1708;;;;;
;heuristics;16;8.9282;;;;;
;OP;9;9.3232;;;;;
;lexicoOP;9;9.4548;;;;;
;TOP;9;9.4482;;;;;
;modifiedOP;9;9.4548;;;;;
;heuristics;9;9.3046;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;#Targets;TT;;;;;
;OP;16;256;;;;;
;lexicoOP;16;719;;;;;
;;;;;;;;
;modifiedOP;16;1492;;;;;
;heuristics;16;43;;;;;
;OP;9;72;;;;;
;lexicoOP;9;209;;;;;
;;;;;;;;
;modifiedOP;9;170;;;;;
;heuristics;9;12;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;OP;lexicoOP;TOP;DO;;;
;25;7.2262;7.2634;7.2626;7.2078;;;
;16;9.0654;9.1458;9.1708;8.9282;;;
;9;9.3232;9.4548;9.4548;9.3046;;;
;;;;;;;;
;;;;;;;;
;;OP;lexicoOP;TOP;DO;;;
;25;328;741;7425;95;;;
;16;256;719;1492;43;;;
;9;72;209;170;12;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;25;16;9;;;;
;OP;7.2262;9.0654;9.3232;;;;
;lexicoOP;7.2634;9.1458;9.4548;;;;
;TOP;7.2626;9.1708;9.4548;;;;
;DO;7.2078;8.9282;9.3046;;;;
